NOMBRE,NOMBRE-VIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
Centro Cultural Usera 2,FELIPE CASTRO,28026,PRADOLONGO,USERA,439923,4470861,40.38429664257218,-3.7090866533057723
Centro Cultural Valdebernardo (Vic�lvaro),INDALECIO PRIETO,28032,CASCO H.VICALVARO,VICALVARO,447388,4472529,40.39982891410407,-3.621281890570377
Centro Cultural Zazuar (Villa de Vallecas),ZAZUAR,28031,SANTA EUGENIA,VILLA DE VALLECAS,448659,4470631,40.38281899948726,-3.606140062044455
Centro Cultural - Centro Socio Cultural Villa de Barajas,BOTICA,28042,CASCO H.BARAJAS,BARAJAS,451070,4480671,40.473402418562216,-3.5785233191070316
Centro de Formaci�n de Barajas,CANTABRIA,28042,ALAMEDA DE OSUNA,BARAJAS,450284,4478593,40.45463575922803,-3.587632115472542
Centro de Salud Santa Hortensia,SANTA HORTENSIA,28002,PROSPERIDAD,CHAMARTIN,443302,4477591,40.445161353404394,-3.6698809711248352
Centro de Servicios Sociales Dehesa de la Villa,ANTONIO MACHADO,28035,VALDEZARZA,MONCLOA-ARAVACA,439113,4480061,40.46711526748946,-3.7195114936540987
Centro de Servicios Sociales Eduardo Minguito,LEONOR GONGORA,28021,LOS ROSALES,VILLAVERDE,441806,4466878,40.34854935708132,-3.686539661954902
Centro de Servicios Sociales Entrev�as,YUSTE,28053,ENTREVIAS,PUENTE DE VALLECAS,443295,4469960,40.37641666740886,-3.6692821142332264
Centro de Servicios Sociales Guindalera,PILAR DE ZARAGOZA,28028,GUINDALERA,SALAMANCA,443357,4476296,40.43349910050292,-3.6691167784691703
Centro de Servicios Sociales Luis Vives,HERMANOS GARCIA NOBLEJAS,28037,PUEBLO NUEVO,CIUDAD LINEAL,446786,4475211,40.42395169186788,-3.6286003047950564
Centro de Servicios Sociales Pablo Neruda,GERARDO DIEGO,28018,PALOMERAS SURESTE,PUENTE DE VALLECAS,445409,4470917,40.385179370371446,-3.6444628142076514
Centro de Servicios Sociales San Diego,JAVIER DE MIGUEL,28018,PALOMERAS BAJAS,PUENTE DE VALLECAS,443780,4471322,40.38871930363662,-3.663689575700872
Centro de Servicios Sociales Santa Hortensia,SANTA HORTENSIA,28002,PROSPERIDAD,CHAMARTIN,443360,4477547,40.44476894081767,-3.6691931472225465
Centro Municipal de Mayores 'Alfonso XII',MIRA EL RIO,28048,EL PARDO,FUENCARRAL-EL PARDO,434217,4485937,40.51967355005567,-3.777870156722298
Centro Municipal de Mayores 'Antonio Machado',SAN ROMAN DEL VALLE,28037,ARCOS,SAN BLAS-CANILLEJAS,447365,4474799,40.42027705095574,-3.621741078700336
Centro Municipal de Mayores 'Ant�n Mart�n',CABEZA,28012,EMBAJADORES,CENTRO,440470,4473913,40.41182992691991,-3.702928583465715
Centro Municipal de Mayores 'Ascao',ASCAO,28017,PUEBLO NUEVO,CIUDAD LINEAL,445709,4475844,40.42958439423385,-3.6413497414718736
Centro Municipal de Mayores 'Blasco de Garay',BLASCO DE GARAY,28015,ARAPILES,CHAMBERI,439767,4476362,40.433840945976456,-3.711446072668338
Centro Municipal de Mayores 'Bucaramanga',BARRANQUILLA,28033,PINAR DEL REY,HORTALEZA,445868,4480641,40.47280872386733,-3.6398851240592336
Centro Municipal de Mayores 'Campamento',BOADILLA DEL MONTE,28024,CAMPAMENTO,LATINA,434963,4472501,40.39869732367937,-3.7676853284742142
Centro Municipal de Mayores 'Casa del Reloj',CHOPERA,28045,CHOPERA,ARGANZUELA,440824,4471863,40.3933877847248,-3.698565632659468
Centro Municipal de Mayores 'Ciudad de M�jico',RAFAEL FINAT,28044,LAS AGUILAS,LATINA,434827,4470404,40.379796096543636,-3.7690728792725787
Centro Municipal de Mayores 'Dehesa de la Villa',ANTONIO MACHADO,28035,VALDEZARZA,MONCLOA-ARAVACA,439113,4480061,40.46711526748946,-3.7195114936540987
Centro Municipal de Mayores 'Dos Amigos',DOS AMIGOS,28015,UNIVERSIDAD,CENTRO,439862,4475348,40.42471327582072,-3.7102299982331006
Centro Municipal de Mayores 'Eduardo Minguito',LEONOR GONGORA,28021,LOS ROSALES,VILLAVERDE,441806,4466878,40.34854935708132,-3.686539661954902
Centro Municipal de Mayores 'El Almendro',LADERA DE LOS ALMENDROS,28032,CASCO H.VICALVARO,VICALVARO,447166,4472783,40.40210302381573,-3.6239189412211457
Centro Municipal de Mayores 'El Pozo',GLORIETAS,28053,ENTREVIAS,PUENTE DE VALLECAS,444059,4469640,40.3735856436473,-3.6602546064905397
Centro Municipal de Mayores 'Entrev�as',YUSTE,28053,ENTREVIAS,PUENTE DE VALLECAS,443295,4469960,40.37641666740886,-3.6692821142332264
Centro Municipal de Mayores 'Infante Don Juan',MORET,28008,ARGUELLES,MONCLOA-ARAVACA,438981,4476413,40.43424297757217,-3.7207172544795784
Centro Municipal de Mayores 'Islas Filipinas',NUESTRA SE�ORA DEL VILLAR,28017,VENTAS,CIUDAD LINEAL,444814,4475167,40.42342659084215,-3.651841641389484
Centro Municipal de Mayores 'La Guindalera',PILAR DE ZARAGOZA,28028,GUINDALERA,SALAMANCA,443357,4476296,40.43349910050292,-3.6691167784691703
Centro Municipal de Mayores 'La Vaguada',MONFORTE DE LEMOS,28029,EL PILAR,FUENCARRAL-EL PARDO,439977,4481329,40.47860087334554,-3.7094408342979954
Centro Municipal de Mayores 'Le�eros',LE�EROS,28039,BELLAS VISTAS,TETUAN,439961,4478605,40.45406088024461,-3.7093713617566357
Centro Municipal de Mayores 'Lucero',CASTROSERNA,28047,LUCERO,LATINA,436537,4472830,40.40178273810314,-3.7491718558671474
Centro Municipal de Mayores 'Luis Vives',HERMANOS GARCIA NOBLEJAS,28037,PUEBLO NUEVO,CIUDAD LINEAL,446786,4475211,40.42395169186788,-3.6286003047950564
Centro Municipal de Mayores 'Maestro Alonso',MAESTRO ALONSO,28028,FUENTE DEL BERRO,SALAMANCA,443717,4475833,40.4293527096082,-3.664819790735596
Centro Municipal de Mayores 'Mar�a Zambrano',PINAZO,28021,SAN CRISTOBAL,VILLAVERDE,441426,4466302,40.34333382494165,-3.6909491943684447
Centro Municipal de Mayores 'Nicanor Barroso',ENCOMIENDA DE PALACIOS,28030,FONTARRON,MORATALAZ,445626,4472436,40.39887768991457,-3.6420363186993754
Centro Municipal de Mayores 'Nuestra Se�ora del Carmen',RAMON POWER,28043,CANILLAS,HORTALEZA,446570,4479589,40.46337730558992,-3.631515434596136
Centro Municipal de Mayores 'Pablo Neruda',GERARDO DIEGO,28018,PALOMERAS SURESTE,PUENTE DE VALLECAS,445409,4470917,40.385179370371446,-3.6444628142076514
Centro Municipal de Mayores 'Pamplona',PAMPLONA,28039,BELLAS VISTAS,TETUAN,440307,4478659,40.45458138286933,-3.7052844690568008
Centro Municipal de Mayores 'Prosperidad Santa Hortensia',SANTA HORTENSIA,28002,PROSPERIDAD,CHAMARTIN,443360,4477547,40.44476894081767,-3.6691931472225465
Centro Municipal de Mayores 'Pr�ncipe de Asturias',HERMANOS GARCIA NOBLEJAS,28037,PUEBLO NUEVO,CIUDAD LINEAL,446089,4476539,40.43587011477473,-3.6369291425796417
Centro Municipal de Mayores 'P�o Baroja',PIO BAROJA,28009,NI�O JESUS,RETIRO,442859,4474067,40.41339399749287,-3.674787205505522
Centro Municipal de Mayores 'San Diego',JAVIER DE MIGUEL,28018,PALOMERAS BAJAS,PUENTE DE VALLECAS,443780,4471322,40.38871930363662,-3.663689575700872
Centro Municipal de Mayores 'San Juan Bautista',BUESO PINEDA,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,444305,4478401,40.45252617323743,-3.6581255009849327
Centro Municipal de Mayores 'San Vicente de Pa�l',ANTONIA LANCHA,28019,OPA�EL,CARABANCHEL,438743,4471075,40.386075026633925,-3.7230547190101255
Centro Municipal de Mayores 'Santa Engracia',SANTA ENGRACIA,28003,RIOS ROSAS,CHAMBERI,440681,4477037,40.439987457420344,-3.700733879498953
Centro Municipal de Mayores 'Teresa de Calcuta',NAVIO,28042,ALAMEDA DE OSUNA,BARAJAS,450284,4478668,40.45531140556268,-3.587638001688095
Centro Municipal de Mayores 'Vic�lvaro',DAROCA,28032,CASCO H.VICALVARO,VICALVARO,448405,4472929,40.403496149688735,-3.609330588862229
Centro Municipal de Mayores 'Villa de Vallecas',PICO MAMPODRE,28031,CASCO H.VALLECAS,VILLA DE VALLECAS,447374,4470031,40.37732438108785,-3.6212400484216967
Centro Sociocultural  Siena (Ciudad Lineal),SIENA,28027,QUINTANA,CIUDAD LINEAL,444818,4476248,40.43316516575713,-3.651876723048774
Centro Sociocultural �gata (Villaverde),DOCTOR MARTIN AREVALO,28021,SAN ANDRES,VILLAVERDE,439937,4466650,40.34636268334182,-3.708524395897377
Centro Sociocultural Alberto S�nchez (Puente de Vallecas),RISCO DE PELOCHE,28038,NUMANCIA,PUENTE DE VALLECAS,444469,4471860,40.393612303425975,-3.6556073868098493
Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),MIRA EL RIO,28048,EL PARDO,FUENCARRAL-EL PARDO,434214,4485937,40.519673311658686,-3.7779055687726535
Centro Sociocultural Blasco Ib��ez (Carabanchel),SOLDADO JOSE MARIA REY,28019,SAN ISIDRO,CARABANCHEL,437922,4472060,40.394959912881816,-3.732764798621339
Centro Sociocultural Bohemios (Villaverde),LOS BOHEMIOS,28041,LOS ANGELES,VILLAVERDE,441175,4467754,40.35639654251886,-3.6940501846610894
Centro Sociocultural C�novas del Castillo (Usera),JULIO AGUIRRE,28026,ALMENDRALES,USERA,440689,4471073,40.38626143332092,-3.7000825227295007
Centro Sociocultural Ciudad Lineal,JOSE LUIS DE ARRESE,28017,VENTAS,CIUDAD LINEAL,444826,4475103,40.422850906984415,-3.651682839770605
Centro Sociocultural Eduardo Chillida (Moratalaz),ARROYO BELINCOSO,28030,MEDIA LEGUA,MORATALAZ,444686,4473610,40.40939173676513,-3.653214777359331
Centro Sociocultural El Greco (Latina),EL GRECO,28011,LUCERO,LATINA,436687,4473443,40.407316328180464,-3.747465416906973
Centro Sociocultural Francisco Fatou (Villa de Vallecas),MANUEL VELEZ,28031,CASCO H.VALLECAS,VILLA DE VALLECAS,447216,4470283,40.379584618162156,-3.623110349262379
Centro Sociocultural Garc�a Lorca (Carabanchel),EUGENIA DE MONTIJO,28044,BUENAVISTA,CARABANCHEL,436352,4469770,40.37420290010211,-3.7510337449848636
Centro Sociocultural Jos� Espronceda (Tetu�n),ALMANSA,28039,BELLAS VISTAS,TETUAN,440367,4477999,40.44863106357685,-3.7045265016586013
Centro Sociocultural Juvenil Moratalaz,FUENTE CARRANTONA,28030,PAVONES,MORATALAZ,446083,4472471,40.399222766804556,-3.6366543437448824
Centro Sociocultural Latina,RODRIGO DE ARANA,28044,LAS AGUILAS,LATINA,435092,4470384,40.3796366471018,-3.7659492448759053
Centro Sociocultural Lavapi�s (Centro),OLIVAR,28012,EMBAJADORES,CENTRO,440583,4473672,40.40966697102759,-3.701574291636879
Centro Sociocultural Luis Gonzaga (Chamart�n),PRINCIPE DE VERGARA,28002,CIUDAD JARDIN,CHAMARTIN,442605,4477567,40.44489723228663,-3.6780972922453685
Centro Sociocultural Maestro Alonso (Salamanca),MAESTRO ALONSO,28028,FUENTE DEL BERRO,SALAMANCA,443715,4475837,40.42938854032785,-3.664855511110751
Centro Sociocultural Marconi (Villaverde),COLONIA MARCONI,28021,SAN ANDRES,VILLAVERDE,440582,4465356,40.334751832113774,-3.700809560921597
Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),ALIAGA,28022,CANILLEJAS,SAN BLAS-CANILLEJAS,448257,4476610,40.43664778776818,-3.611362970564875
Centro Sociocultural Oporto (Carabanchel),OPORTO,28019,OPA�EL,CARABANCHEL,438341,4471156,40.38684744124125,-3.727740326743959
Centro Sociocultural Rafael de Le�n (Fuencarral - El Pardo),ISLA DE ONS,28035,PE�A GRANDE,FUENCARRAL-EL PARDO,438959,4481521,40.48025613358832,-3.7214686777952974
Centro Sociocultural San Crist�bal de los �ngeles (Villaverde),PINAZO,28021,SAN CRISTOBAL,VILLAVERDE,441460,4466191,40.34233618931469,-3.6905504735084342
Centro Sociocultural San Jos� de Calasanz (Latina),MARIA DEL CARMEN,28011,PUERTA DEL ANGEL,LATINA,437939,4473339,40.40647389284976,-3.7327010920242043
Centro Sociocultural Santa Petronila (Villaverde),MARIA MARTINEZ OVIOL,28021,LOS ROSALES,VILLAVERDE,441386,4467139,40.35087114162283,-3.691508909255186
Centro Sociocultural Talleres de Creatividad (Puente de Vallecas),SIERRA CARBONERA,28053,SAN DIEGO,PUENTE DE VALLECAS,443641,4471476,40.39009728291889,-3.665329063724782
Centro Sociocultural Tetu�n,BRAVO MURILLO,28020,BERRUGUETE,TETUAN,440737,4479155,40.45907130615822,-3.700271645324868
Centro Sociocultural Valle Incl�n (Fuencarral - El Pardo),ARZOBISPO MORCILLO,28029,LA PAZ,FUENCARRAL-EL PARDO,441343,4481592,40.48106787416528,-3.6933504628706095
Centro Sociocultural Valverde (Fuencarral - El Pardo),ISLAS AZORES,28034,VALVERDE,FUENCARRAL-EL PARDO,441808,4483140,40.49504564211655,-3.6880070256093758
Centro Sociocultural Vic�lvaro,LAGO TITICACA,28032,CASCO H.VICALVARO,VICALVARO,448477,4472784,40.40219442341818,-3.6084585863003733
CentroCentro Cibeles de Cultura y Ciudadan�a,CIBELES,28014,LOS JERONIMOS,RETIRO,441386,4474703,40.419011767401095,-3.692206111679657
Hemeroteca Municipal,CONDE DUQUE,28015,UNIVERSIDAD,CENTRO,439864,4475706,40.427938443518215,-3.710240346719518
Museo de Historia de Madrid,FUENCARRAL,28004,JUSTICIA,CENTRO,440659,4475459,40.42577054821346,-3.700845660719608
Museo de San Isidro. Los or�genes de Madrid,SAN ANDRES,28005,PALACIO,CENTRO,439801,4473945,40.41207900253883,-3.7108161027466378
Oficina Auxiliar de Atenci�n a la Ciudadan�a de El Pardo. Oficina de Atenci�n a la Ciudadan�a L�nea Madrid Fuencarral - El Pardo,CAUDILLO,28048,EL PARDO,FUENCARRAL-EL PARDO,434259,4485962,40.51990209048081,-3.777376989484485
